name,price,url,beds,baths,sqft,year_built,hoa
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"761 W Gail Dr, Chandler, AZ 85225",520000,https://www.redfin.com/AZ/Chandler/761-W-Gail-Dr-85225/home/28116791,4 beds,2 baths,1714 sq. ft.,1973,
"3821 W Barcelona Dr, Chandler, AZ 85226",599900,https://www.redfin.com/AZ/Chandler/3821-W-Barcelona-Dr-85226/home/27616123,3 beds,2.5 baths,2000 sq. ft.,1993,$27/mo
"708 N Country Club Way, Chandler, AZ 85226",434999,https://www.redfin.com/AZ/Chandler/708-N-Country-Club-Way-85226/home/27931238,3 beds,2 baths,1554 sq. ft.,1986,$28/mo
"4566 E LA Costa Dr, Chandler, AZ 85249",525000,https://www.redfin.com/AZ/Chandler/4566-E-La-Costa-Dr-85249/home/28036703,3 beds,2 baths,2309 sq. ft.,2002,$65/mo
"5734 W Commonwealth Pl, Chandler, AZ 85226",420000,https://www.redfin.com/AZ/Chandler/5734-W-Commonwealth-Pl-85226/home/27042058,2 beds,2 baths,1078 sq. ft.,1987,$68/mo
"1407 W Chilton St, Chandler, AZ 85224",400000,https://www.redfin.com/AZ/Chandler/1407-W-Chilton-St-85224/home/27584630,3 beds,2 baths,1285 sq. ft.,1983,
"4093 E Westchester Dr, Chandler, AZ 85249",549900,https://www.redfin.com/AZ/Chandler/4093-E-Westchester-Dr-85249/home/28071874,3 beds,2 baths,1764 sq. ft.,2005,$65/mo
"3608 W Fairview Ln, Chandler, AZ 85226",550000,https://www.redfin.com/AZ/Chandler/3608-W-Fairview-Ln-85226/home/27283596,3 beds,2 baths,1570 sq. ft.,1986,
"403 N Monte Vista St, Chandler, AZ 85225",475000,https://www.redfin.com/AZ/Chandler/403-N-Monte-Vista-St-85225/home/28104918,3 beds,2 baths,1454 sq. ft.,1995,
"2207 W Bentrup St, Chandler, AZ 85224",400000,https://www.redfin.com/AZ/Chandler/2207-W-Bentrup-St-85224/home/27064656,3 beds,1 baths,1113 sq. ft.,1979,
"Oban Plan, Chandler, AZ 85249",738990,https://www.redfin.com/AZ/Chandler/Chandler/Oban/home/196205165,3 beds,3 baths,2567 sq. ft.,,
"Reine Plan, Chandler, AZ 85249",763990,https://www.redfin.com/AZ/Chandler/Chandler/Reine/home/196205161,5 beds,3.5 baths,2854 sq. ft.,,
